Association Code,Street Number,Street Name,Unit Number,Lot Number,CINC HOID
AB,123,Main St.,1,,
AB,123,Main St.,2,,
AB,123,Main St.,3,,
AB,123,Main St.,4,,
AB,123,Main St.,5,,
AB,123,Main St.,6,,
AB,123,Main St.,7,,
AB,123,Main St.,8,,
AB,123,Main St.,9,,
AB,123,Main St.,10,,
AB,123,Main St.,11,,
AB,123,Main St.,12,,
AB,123,Main St.,13,,
AB,123,Main St.,14,,
AB,123,Main St.,15,,
AB,123,Main St.,16,,
AB,123,Main St.,17,,
AB,123,Main St.,18,,
AB,123,Main St.,19,,
AB,123,Main St.,20,,
AB,123,Main St.,21,,
AB,123,Main St.,22,,
AB,123,Main St.,23,,
AB,123,Main St.,24,,
AB,123,Main St.,25,,
AB,123,Main St.,26,,
AB,123,Main St.,27,,
AB,123,Main St.,28,,
AB,123,Main St.,29,,
AB,123,Main St.,30,,
AB,123,Main St.,31,,
AB,123,Main St.,32,,
AB,123,Main St.,33,,
AB,123,Main St.,34,,
AB,123,Main St.,35,,
AB,123,Main St.,36,,
