Association Code,Street Number,Street Name,Unit Number,Lot Number,CINC HOID
AB,123,Main St.,1,,AB123MS1
AB,123,Main St.,2,,AB123MS2
AB,123,Main St.,3,,AB123MS3
AB,123,Main St.,4,,AB123MS4
AB,123,Main St.,5,,AB123MS5
AB,123,Main St.,6,,AB123MS6
AB,123,Main St.,7,,AB123MS7
AB,123,Main St.,8,,AB123MS8
AB,123,Main St.,9,,AB123MS9
AB,123,Main St.,10,,AB123MS10
AB,123,Main St.,11,,AB123MS11
AB,123,Main St.,12,,AB123MS12
AB,123,Main St.,13,,AB123MS13
AB,123,Main St.,14,,AB123MS14
AB,123,Main St.,15,,AB123MS15
AB,123,Main St.,16,,AB123MS16
AB,123,Main St.,17,,AB123MS17
AB,123,Main St.,18,,AB123MS18
AB,123,Main St.,19,,AB123MS19
AB,123,Main St.,20,,AB123MS20
AB,123,Main St.,21,,AB123MS21
AB,123,Main St.,22,,AB123MS22
AB,123,Main St.,23,,AB123MS23
AB,123,Main St.,24,,AB123MS24
AB,123,Main St.,25,,AB123MS25
AB,123,Main St.,26,,AB123MS26
AB,123,Main St.,27,,AB123MS27
AB,123,Main St.,28,,AB123MS28
AB,123,Main St.,29,,AB123MS29
AB,123,Main St.,30,,AB123MS30
AB,123,Main St.,31,,AB123MS31
AB,123,Main St.,32,,AB123MS32
AB,123,Main St.,33,,AB123MS33
AB,123,Main St.,34,,AB123MS34
AB,123,Main St.,35,,AB123MS35
AB,123,Main St.,36,,AB123MS36
