Association Code,Street Number,Street Name,Unit Number,Lot Number,CINC HOID
AA,123,Main St.,,,AA123MS
AA,124,Main St.,,,AA124MS
AA,125,Main St.,,,AA125MS
AA,126,Main St.,,,AA126MS
AA,127,Main St.,,,AA127MS
AA,128,Main St.,,,AA128MS
AA,129,Main St.,,,AA129MS
AA,130,Main St.,,,AA130MS
AA,131,Main St.,,,AA131MS
AA,132,Main St.,,,AA132MS
AA,133,Main St.,,,AA133MS
AA,134,Main St.,,,AA134MS
AA,135,Main St.,,,AA135MS
AA,136,Main St.,,,AA136MS
AA,137,Main St.,,,AA137MS
AA,138,Main St.,,,AA138MS
AA,139,Main St.,,,AA139MS
AA,140,Main St.,,,AA140MS
AA,141,Main St.,,,AA141MS
AA,142,Main St.,,,AA142MS
AA,143,Main St.,,,AA143MS
AA,144,Main St.,,,AA144MS
AA,145,Main St.,,,AA145MS
AA,146,Main St.,,,AA146MS
AA,147,Main St.,,,AA147MS
AA,148,Main St.,,,AA148MS
AA,149,Main St.,,,AA149MS
AA,150,Main St.,,,AA150MS
AA,151,Main St.,,,AA151MS
AA,152,Main St.,,,AA152MS
AA,153,Main St.,,,AA153MS
AA,154,Main St.,,,AA154MS
AA,155,Main St.,,,AA155MS
AA,156,Main St.,,,AA156MS
